
> rae-reputation-arbitrage-engine@0.1.0 sensitivity:replacement
> tsx scripts/replacement-sensitivity.ts

# Replacement-level sensitivity sweep
# generated 2026-08-20T13:51:45.976Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
14T PPR 2QB            1.20      34   41   43   17
14T PPR 2QB            1.30      36   44   47   18
14T PPR 2QB            1.40      39   48   50   20
14T PPR 2TE            1.00      14   33   34   31
14T PPR 2TE            1.10      15   36   38   34
14T PPR 2TE            1.20      17   40   41   37
14T PPR 2TE            1.30      18   43   45   40
14T PPR 2TE            1.40      20   46   48   43
14T PPR noK            1.00      14   34   36   14
14T PPR noK            1.10      15   38   39   15
14T PPR noK            1.20      17   41   43   17
14T PPR noK            1.30      18   44   47   18
14T PPR noK            1.40      20   48   50   20
14T PPR 0FLEX          1.00      14   28   28   14
14T PPR 0FLEX          1.10      15   31   31   15
14T PPR 0FLEX          1.20      17   34   34   17
14T PPR 0FLEX          1.30      18   36   36   18
14T PPR 0FLEX          1.40      20   39   39   20
14T PPR 3FLEX          1.00      14   47   51   14
14T PPR 3FLEX          1.10      15   51   56   15
14T PPR 3FLEX          1.20      17   56   62   17
14T PPR 3FLEX          1.30      18   61   67   18
14T PPR 3FLEX          1.40      20   65   72   20
14T PPR redraft        1.00      14   34   36   14
14T PPR redraft        1.10      15   38   39   15
14T PPR redraft        1.20      17   41   43   17
14T PPR redraft        1.30      18   44   47   18
14T PPR redraft        1.40      20   48   50   20
14T PPR keeper         1.00      14   34   36   14
14T PPR keeper         1.10      15   38   39   15
14T PPR keeper         1.20      17   41   43   17
14T PPR keeper         1.30      18   44   47   18
14T PPR keeper         1.40      20   48   50   20
14T PPR dynasty        1.00      14   34   36   14
14T PPR dynasty        1.10      15   38   39   15
14T PPR dynasty        1.20      17   41   43   17
14T PPR dynasty        1.30      18   44   47   18
14T PPR dynasty        1.40      20   48   50   20

## 2. Effect of the cushion on player ordering vs the 1.2 baseline

This is the decision-relevant question. Within a position the
transform is monotonic in posRank, so intra-position order cannot
move; only CROSS-position order can. Draft board, waiver ranking and
trade grades all read this same ordering.

shape                  cushion  inversionRate  top12churn  top24churn  maxAbsTVdelta
8T STD 1QB             1.00    0.0350         0           0          20
8T STD 1QB             1.10    0.0169         0           0          10
8T STD 1QB             1.30    0.0169         0           0           8
8T STD 1QB             1.40    0.0276         0           0          14
8T STD SFLEX           1.00    0.0229         0           0          20
8T STD SFLEX           1.10    0.0125         0           0          10
8T STD SFLEX           1.30    0.0114         0           0          10
8T STD SFLEX           1.40    0.0142         0           0          14
8T STD 2QB             1.00    0.0229         0           0          20
8T STD 2QB             1.10    0.0125         0           0          10
8T STD 2QB             1.30    0.0114         0           0          10
8T STD 2QB             1.40    0.0142         0           0          14
8T STD 2TE             1.00    0.0249         1           1          20
8T STD 2TE             1.10    0.0118         0           1          10
8T STD 2TE             1.30    0.0139         0           1           8
8T STD 2TE             1.40    0.0221         0           1          15
8T STD noK             1.00    0.0350         0           0          20
8T STD noK             1.10    0.0169         0           0          10
8T STD noK             1.30    0.0169         0           0           8
8T STD noK             1.40    0.0276         0           0          14
8T STD 0FLEX           1.00    0.0317         0           0          20
8T STD 0FLEX           1.10    0.0128         0           0          10
8T STD 0FLEX           1.30    0.0183         0           0          10
8T STD 0FLEX           1.40    0.0242         0           0          14
8T STD 3FLEX           1.00    0.0369         0           1          20
8T STD 3FLEX           1.10    0.0170         0           1          10
8T STD 3FLEX           1.30    0.0131         0           1           6
8T STD 3FLEX           1.40    0.0193         0           1          13
8T HALF 1QB            1.00    0.0423         1           1          20
8T HALF 1QB            1.10    0.0249         1           1          12
